method	path	path_html	app	controller	action	auth	auth_required	desc	file	line
UNKNOWN	/api/ticket/getTicketPirce	/api/ticket/getTicketPirce.html	api	Ticket	getTicketPirce	api-token(Userid)	no		app/api/controller/Ticket.php	1153
UNKNOWN	/api/ticket/getTravelOrderDetail	/api/ticket/getTravelOrderDetail.html	api	Ticket	getTravelOrderDetail	api-token(Userid)	no		app/api/controller/Ticket.php	2037
UNKNOWN	/api/ticket/notify_pay	/api/ticket/notify_pay.html	api	Ticket	notify_pay	api-token(Userid)	no		app/api/controller/Ticket.php	944
UNKNOWN	/api/ticket/notify_refund	/api/ticket/notify_refund.html	api	Ticket	notify_refund	api-token(Userid)	no		app/api/controller/Ticket.php	1008
UNKNOWN	/api/ticket/orderpay	/api/ticket/orderpay.html	api	Ticket	orderpay	api-token(Userid)	yes		app/api/controller/Ticket.php	266
UNKNOWN	/api/ticket/OrderRefund	/api/ticket/OrderRefund.html	api	Ticket	OrderRefund	api-token(Userid)	yes		app/api/controller/Ticket.php	883
UNKNOWN	/api/ticket/OrderRefundDetail	/api/ticket/OrderRefundDetail.html	api	Ticket	OrderRefundDetail	api-token(Userid)	yes		app/api/controller/Ticket.php	756
POST	/api/ticket/pay	/api/ticket/pay.html	api	Ticket	pay	api-token(Userid)	yes	提交订单	app/api/controller/Ticket.php	63
POST	/api/ticket/refund	/api/ticket/refund.html	api	Ticket	refund	api-token(Userid)	yes	提交退款整单退款	app/api/controller/Ticket.php	802
POST	/api/ticket/single_refund	/api/ticket/single_refund.html	api	Ticket	single_refund	api-token(Userid)	yes	提交退款整单退款	app/api/controller/Ticket.php	660
UNKNOWN	/api/ticket/travelOrderPay	/api/ticket/travelOrderPay.html	api	Ticket	travelOrderPay	api-token(Userid)	no		app/api/controller/Ticket.php	2075
UNKNOWN	/api/ticket/writeComment	/api/ticket/writeComment.html	api	Ticket	writeComment	api-token(Userid)	yes		app/api/controller/Ticket.php	1255
UNKNOWN	/api/ticket/writeOff	/api/ticket/writeOff.html	api	Ticket	writeOff	api-token(Userid)	yes		app/api/controller/Ticket.php	1427
UNKNOWN	/api/upload/index	/api/upload/index.html	api	Upload	index	api-token(Userid)	yes		app/api/controller/Upload.php	45
UNKNOWN	/api/user/add_sign_record	/api/user/add_sign_record.html	api	User	add_sign_record	api-token(Userid)	yes		app/api/controller/User.php	822
POST	/api/user/addguest	/api/user/addguest.html	api	User	addguest	api-token(Userid)	no	返回是否成功	app/api/controller/User.php	1004
UNKNOWN	/api/user/auth_identity	/api/user/auth_identity.html	api	User	auth_identity	api-token(Userid)	yes		app/api/controller/User.php	1167
UNKNOWN	/api/user/auth_info	/api/user/auth_info.html	api	User	auth_info	api-token(Userid)	no		app/api/controller/User.php	82
POST	/api/user/clock	/api/user/clock.html	api	User	clock	api-token(Userid)	yes	游客打卡	app/api/controller/User.php	758
POST	/api/user/clock_list	/api/user/clock_list.html	api	User	clock_list	api-token(Userid)	yes	获取用户核销记录 = 打卡记录	app/api/controller/User.php	665
POST	/api/user/collection	/api/user/collection.html	api	User	collection	api-token(Userid)	yes	用户收藏商家列表	app/api/controller/User.php	228
POST	/api/user/collection_action	/api/user/collection_action.html	api	User	collection_action	api-token(Userid)	yes	取消&收藏	app/api/controller/User.php	294
POST	/api/user/coupon_issue_user	/api/user/coupon_issue_user.html	api	User	coupon_issue_user	api-token(Userid)	yes	消费券--我的领取记录	app/api/controller/User.php	194
POST	/api/user/coupon_order	/api/user/coupon_order.html	api	User	coupon_order	api-token(Userid)	yes	用户订单	app/api/controller/User.php	1060
POST	/api/user/coupon_order_detail	/api/user/coupon_order_detail.html	api	User	coupon_order_detail	api-token(Userid)	yes	用户订单详情	app/api/controller/User.php	1100
UNKNOWN	/api/user/delTourist	/api/user/delTourist.html	api	User	delTourist	api-token(Userid)	yes		app/api/controller/User.php	1614
POST	/api/user/edit	/api/user/edit.html	api	User	edit	api-token(Userid)	yes	用户修改资料	app/api/controller/User.php	104
UNKNOWN	/api/user/encryptAES	/api/user/encryptAES.html	api	User	encryptAES	api-token(Userid)	yes		app/api/controller/User.php	425
POST	/api/user/feed_back	/api/user/feed_back.html	api	User	feed_back	api-token(Userid)	yes	返回是否成功	app/api/controller/User.php	960
POST	/api/user/get_user_coupon_id	/api/user/get_user_coupon_id.html	api	User	get_user_coupon_id	api-token(Userid)	yes	获取用户所领取的消费券ID集	app/api/controller/User.php	1139
UNKNOWN	/api/user/getCertTypeList	/api/user/getCertTypeList.html	api	User	getCertTypeList	api-token(Userid)	no		app/api/controller/User.php	1503
UNKNOWN	/api/user/getLogisticsInformation	/api/user/getLogisticsInformation.html	api	User	getLogisticsInformation	api-token(Userid)	yes		app/api/controller/User.php	1927
UNKNOWN	/api/user/getTouristList	/api/user/getTouristList.html	api	User	getTouristList	api-token(Userid)	yes		app/api/controller/User.php	1510
POST	/api/user/guide_tour	/api/user/guide_tour.html	api	User	guide_tour	api-token(Userid)	yes	导游-我的团	app/api/controller/User.php	324
POST	/api/user/hotel_clock	/api/user/hotel_clock.html	api	User	hotel_clock	api-token(Userid)	yes	游客酒店打卡	app/api/controller/User.php	894
POST	/api/user/hotel_tour	/api/user/hotel_tour.html	api	User	hotel_tour	api-token(Userid)	yes	导游-我的团-酒店打卡记录	app/api/controller/User.php	351
POST	/api/user/index	/api/user/index.html	api	User	index	api-token(Userid)	yes	个人中心	app/api/controller/User.php	34
UNKNOWN	/api/user/miniwxregister	/api/user/miniwxregister.html	api	User	miniwxregister	api-token(Userid)	no		app/api/controller/User.php	1390
UNKNOWN	/api/user/postTourist	/api/user/postTourist.html	api	User	postTourist	api-token(Userid)	yes		app/api/controller/User.php	1524
UNKNOWN	/api/user/saveDelivery	/api/user/saveDelivery.html	api	User	saveDelivery	api-token(Userid)	yes		app/api/controller/User.php	1842
UNKNOWN	/api/user/smsVerification	/api/user/smsVerification.html	api	User	smsVerification	api-token(Userid)	yes		app/api/controller/User.php	1644
POST	/api/user/tour_coupon	/api/user/tour_coupon.html	api	User	tour_coupon	api-token(Userid)	yes	导游-我的团-团体券	app/api/controller/User.php	373
POST	/api/user/tour_coupon_group	/api/user/tour_coupon_group.html	api	User	tour_coupon_group	api-token(Userid)	yes	导游-我的团-团体券-详情	app/api/controller/User.php	394
UNKNOWN	/api/user/userClock	/api/user/userClock.html	api	User	userClock	api-token(Userid)	yes		app/api/controller/User.php	1726
UNKNOWN	/api/user/writeoff_tour	/api/user/writeoff_tour.html	api	User	writeoff_tour	api-token(Userid)	yes		app/api/controller/User.php	471
UNKNOWN	/api/webupload/index	/api/webupload/index.html	api	Webupload	index	api-token(Userid)	no		app/api/controller/Webupload.php	45
UNKNOWN	/meituan/index/captcha	/meituan/index/captcha.html	meituan	Index	captcha	meituan(BA-sign)	yes		app/meituan/controller/Index.php	487
UNKNOWN	/meituan/index/change	/meituan/index/change.html	meituan	Index	change	meituan(BA-sign)	yes		app/meituan/controller/Index.php	52
UNKNOWN	/meituan/index/demo	/meituan/index/demo.html	meituan	Index	demo	meituan(BA-sign)	yes		app/meituan/controller/Index.php	60
POST	/meituan/index/system	/meituan/index/system.html	meituan	Index	system	meituan(BA-sign)	yes	返回系统信息	app/meituan/controller/Index.php	459
POST	/meituan/index/winlogin	/meituan/index/winlogin.html	meituan	Index	winlogin	meituan(BA-sign)	yes	系统登录接口，返回 token 用于操作需验证身份的接口	app/meituan/controller/Index.php	497
UNKNOWN	/meituan/ticket/getMt	/meituan/ticket/getMt.html	meituan	Ticket	getMt	meituan(BA-sign)	no		app/meituan/controller/Ticket.php	43
POST	/meituan/ticket/pay	/meituan/ticket/pay.html	meituan	Ticket	pay	meituan(BA-sign)	yes	提交订单	app/meituan/controller/Ticket.php	37
UNKNOWN	/meituan/upload/index	/meituan/upload/index.html	meituan	Upload	index	meituan(BA-sign)	yes		app/meituan/controller/Upload.php	45
UNKNOWN	/meituan/webupload/index	/meituan/webupload/index.html	meituan	Webupload	index	meituan(BA-sign)	no		app/meituan/controller/Webupload.php	45
UNKNOWN	/selfservice/index/captcha	/selfservice/index/captcha.html	selfservice	Index	captcha	selfservice-token(No)	no		app/selfservice/controller/Index.php	54
POST	/selfservice/index/selflogin	/selfservice/index/selflogin.html	selfservice	Index	selflogin	selfservice-token(No)	no	系统登录接口，返回 token 用于操作需验证身份的接口	app/selfservice/controller/Index.php	64
