phase	group	tag	miniapp_used	method	path	path_html	python_status	route_methods	method_compatible	golden_p0	golden_p0_success	auth_required	auth	contract	app	controller	action	desc	file	line
M1	A1-money	REFUND	no	POST	/window/ticket/refund	/window/ticket/refund.html	implemented	POST	yes	yes	no	yes	window-token(Uuid)	docs/rewrite/contracts/p0/window/ticket/refund.md	window	Ticket	refund	提交退款整单退款	app/window/controller/Ticket.php	280
M1	A1-money	REFUND	no	POST	/window/ticket/single_refund	/window/ticket/single_refund.html	implemented	POST	yes	yes	no	yes	window-token(Uuid)	docs/rewrite/contracts/p0/window/ticket/single_refund.md	window	Ticket	single_refund	提交退款整单退款	app/window/controller/Ticket.php	249
M1	A2-identity-upload	AUTH_LOGIN	yes	POST	/api/index/getuserphonenumber	/api/index/getuserphonenumber.html	implemented	POST	yes	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/index/getuserphonenumber.md	api	Index	getuserphonenumber	系统登录接口，返回 token 用于操作需验证身份的接口	app/api/controller/Index.php	133
M1	A2-identity-upload	AUTH_LOGIN	no	POST	/api/index/miniwxlogin	/api/index/miniwxlogin.html	implemented	POST	yes	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/index/miniwxlogin.md	api	Index	miniwxlogin	系统登录接口，返回 token 用于操作需验证身份的接口	app/api/controller/Index.php	172
M1	A2-identity-upload	UPLOAD	no	UNKNOWN	/api/upload/index	/api/upload/index.html	implemented	GET,OPTIONS,POST	unknown	yes	yes	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/upload/index.md	api	Upload	index		app/api/controller/Upload.php	45
M1	A2-identity-upload	SMS_ID	yes	UNKNOWN	/api/user/auth_identity	/api/user/auth_identity.html	implemented	POST	unknown	yes	yes	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/user/auth_identity.md	api	User	auth_identity		app/api/controller/User.php	1167
M1	A2-identity-upload	SMS_ID	yes	UNKNOWN	/api/user/auth_info	/api/user/auth_info.html	implemented	POST	unknown	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/user/auth_info.md	api	User	auth_info		app/api/controller/User.php	82
M1	A2-identity-upload	AUTH_LOGIN	no	UNKNOWN	/api/user/miniwxregister	/api/user/miniwxregister.html	implemented	POST	unknown	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/user/miniwxregister.md	api	User	miniwxregister		app/api/controller/User.php	1390
M1	A2-identity-upload	SMS_ID	yes	UNKNOWN	/api/user/smsVerification	/api/user/smsVerification.html	implemented	POST	unknown	yes	yes	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/user/smsverification.md	api	User	smsVerification		app/api/controller/User.php	1644
M1	A2-identity-upload	UPLOAD	no	UNKNOWN	/api/webupload/index	/api/webupload/index.html	implemented	GET,OPTIONS,POST	unknown	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/webupload/index.md	api	Webupload	index		app/api/controller/Webupload.php	45
M1	A2-identity-upload	UPLOAD	no	UNKNOWN	/selfservice/upload/index	/selfservice/upload/index.html	implemented	GET,OPTIONS,POST	unknown	yes	yes	yes	selfservice-token(No)	docs/rewrite/contracts/p0/selfservice/upload/index.md	selfservice	Upload	index		app/selfservice/controller/Upload.php	45
M1	A2-identity-upload	UPLOAD	no	UNKNOWN	/selfservice/webupload/index	/selfservice/webupload/index.html	implemented	GET,OPTIONS,POST	unknown	yes	yes	no	selfservice-token(No)	docs/rewrite/contracts/p0/selfservice/webupload/index.md	selfservice	Webupload	index		app/selfservice/controller/Webupload.php	45
M1	A2-identity-upload	UPLOAD	no	UNKNOWN	/window/upload/index	/window/upload/index.html	implemented	GET,OPTIONS,POST	unknown	yes	no	yes	window-token(Uuid)	docs/rewrite/contracts/p0/window/upload/index.md	window	Upload	index		app/window/controller/Upload.php	45
