group	tag	miniapp_used	method	path	path_html	app	controller	action	auth	auth_required	contract	desc	file	line
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/idtocoupon	/api/coupon/idtocoupon.html	api	Coupon	idtocoupon	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/coupon/idtocoupon.md		app/api/controller/Coupon.php	1337
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/index	/api/coupon/index.html	api	Coupon	index	api-token(Userid)	no	docs/rewrite/contracts/p0/api/coupon/index.md		app/api/controller/Coupon.php	44
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/receive	/api/coupon/receive.html	api	Coupon	receive	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/coupon/receive.md		app/api/controller/Coupon.php	278
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/tempApi	/api/coupon/tempApi.html	api	Coupon	tempApi	api-token(Userid)	no	docs/rewrite/contracts/p0/api/coupon/tempapi.md		app/api/controller/Coupon.php	92
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/writeoff	/api/coupon/writeoff.html	api	Coupon	writeoff	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/coupon/writeoff.md		app/api/controller/Coupon.php	923
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/writeoffdetail	/api/coupon/writeoffdetail.html	api	Coupon	writeoffdetail	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/coupon/writeoffdetail.md		app/api/controller/Coupon.php	1253
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/writeofflog	/api/coupon/writeofflog.html	api	Coupon	writeofflog	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/coupon/writeofflog.md		app/api/controller/Coupon.php	1207
B1-miniapp	BUSINESS	yes	POST	/api/index/note_detail	/api/index/note_detail.html	api	Index	note_detail	api-token(Userid)	no	docs/rewrite/contracts/p0/api/index/note_detail.md	公告详情	app/api/controller/Index.php	292
B1-miniapp	BUSINESS	yes	POST	/api/index/note_list	/api/index/note_list.html	api	Index	note_list	api-token(Userid)	no	docs/rewrite/contracts/p0/api/index/note_list.md	公告列表	app/api/controller/Index.php	276
B1-miniapp	BUSINESS	yes	POST	/api/index/system	/api/index/system.html	api	Index	system	api-token(Userid)	no	docs/rewrite/contracts/p0/api/index/system.md	返回系统信息	app/api/controller/Index.php	91
B1-miniapp	BUSINESS	yes	POST	/api/index/transform	/api/index/transform.html	api	Index	transform	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/index/transform.md	返回区域列表	app/api/controller/Index.php	334
B1-miniapp	BUSINESS	yes	POST	/api/seller/cate	/api/seller/cate.html	api	Seller	cate	api-token(Userid)	no	docs/rewrite/contracts/p0/api/seller/cate.md	返回商家分类	app/api/controller/Seller.php	30
B1-miniapp	BUSINESS	yes	POST	/api/seller/detail	/api/seller/detail.html	api	Seller	detail	api-token(Userid)	no	docs/rewrite/contracts/p0/api/seller/detail.md	返回商家详细信息	app/api/controller/Seller.php	114
B1-miniapp	BUSINESS	yes	POST	/api/seller/list	/api/seller/list.html	api	Seller	list	api-token(Userid)	no	docs/rewrite/contracts/p0/api/seller/list.md	返回商家信息	app/api/controller/Seller.php	48
B1-miniapp	BUSINESS	yes	POST	/api/seller/search	/api/seller/search.html	api	Seller	search	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/seller/search.md	返回商家信息	app/api/controller/Seller.php	192
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getCommentList	/api/ticket/getCommentList.html	api	Ticket	getCommentList	api-token(Userid)	no	docs/rewrite/contracts/p0/api/ticket/getcommentlist.md		app/api/controller/Ticket.php	1315
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getOrderDetail	/api/ticket/getOrderDetail.html	api	Ticket	getOrderDetail	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/getorderdetail.md		app/api/controller/Ticket.php	1387
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getOrderDetailDetail	/api/ticket/getOrderDetailDetail.html	api	Ticket	getOrderDetailDetail	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/getorderdetaildetail.md		app/api/controller/Ticket.php	1865
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getOrderList	/api/ticket/getOrderList.html	api	Ticket	getOrderList	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/getorderlist.md		app/api/controller/Ticket.php	1344
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getScenicList	/api/ticket/getScenicList.html	api	Ticket	getScenicList	api-token(Userid)	no	docs/rewrite/contracts/p0/api/ticket/getsceniclist.md	返回景区列表信息	app/api/controller/Ticket.php	1193
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getTicketList	/api/ticket/getTicketList.html	api	Ticket	getTicketList	api-token(Userid)	no	docs/rewrite/contracts/p0/api/ticket/getticketlist.md		app/api/controller/Ticket.php	1123
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getTicketPirce	/api/ticket/getTicketPirce.html	api	Ticket	getTicketPirce	api-token(Userid)	no	docs/rewrite/contracts/p0/api/ticket/getticketpirce.md		app/api/controller/Ticket.php	1153
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/orderpay	/api/ticket/orderpay.html	api	Ticket	orderpay	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/orderpay.md		app/api/controller/Ticket.php	266
B1-miniapp	BUSINESS	yes	POST	/api/ticket/pay	/api/ticket/pay.html	api	Ticket	pay	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/pay.md	提交订单	app/api/controller/Ticket.php	63
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/writeComment	/api/ticket/writeComment.html	api	Ticket	writeComment	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/writecomment.md		app/api/controller/Ticket.php	1255
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/writeOff	/api/ticket/writeOff.html	api	Ticket	writeOff	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/writeoff.md		app/api/controller/Ticket.php	1427
B1-miniapp	BUSINESS	yes	POST	/api/user/clock	/api/user/clock.html	api	User	clock	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/clock.md	游客打卡	app/api/controller/User.php	758
B1-miniapp	BUSINESS	yes	POST	/api/user/clock_list	/api/user/clock_list.html	api	User	clock_list	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/clock_list.md	获取用户核销记录 = 打卡记录	app/api/controller/User.php	665
B1-miniapp	BUSINESS	yes	POST	/api/user/collection	/api/user/collection.html	api	User	collection	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/collection.md	用户收藏商家列表	app/api/controller/User.php	228
B1-miniapp	BUSINESS	yes	POST	/api/user/collection_action	/api/user/collection_action.html	api	User	collection_action	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/collection_action.md	取消&收藏	app/api/controller/User.php	294
B1-miniapp	BUSINESS	yes	POST	/api/user/coupon_issue_user	/api/user/coupon_issue_user.html	api	User	coupon_issue_user	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/coupon_issue_user.md	消费券--我的领取记录	app/api/controller/User.php	194
B1-miniapp	BUSINESS	yes	POST	/api/user/coupon_order	/api/user/coupon_order.html	api	User	coupon_order	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/coupon_order.md	用户订单	app/api/controller/User.php	1060
B1-miniapp	BUSINESS	yes	POST	/api/user/coupon_order_detail	/api/user/coupon_order_detail.html	api	User	coupon_order_detail	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/coupon_order_detail.md	用户订单详情	app/api/controller/User.php	1100
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/user/delTourist	/api/user/delTourist.html	api	User	delTourist	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/deltourist.md		app/api/controller/User.php	1614
B1-miniapp	BUSINESS	yes	POST	/api/user/edit	/api/user/edit.html	api	User	edit	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/edit.md	用户修改资料	app/api/controller/User.php	104
B1-miniapp	BUSINESS	yes	POST	/api/user/feed_back	/api/user/feed_back.html	api	User	feed_back	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/feed_back.md	返回是否成功	app/api/controller/User.php	960
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/user/getCertTypeList	/api/user/getCertTypeList.html	api	User	getCertTypeList	api-token(Userid)	no	docs/rewrite/contracts/p0/api/user/getcerttypelist.md		app/api/controller/User.php	1503
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/user/getTouristList	/api/user/getTouristList.html	api	User	getTouristList	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/gettouristlist.md		app/api/controller/User.php	1510
